band,album,date,genre,country,real_date,count
Ethmebb,"Lost My Grind","February 11th, 2013 ","Epic/Progressive Death Metal",France,1/1/2013,1
Hor,Exitium,"November 22nd, 2019 ","Black Metal",Greece,1/1/2019,1
"Dragged Down",Facade,"July 5th, 2018 ","Experimental Death Metal","United States",1/1/2018,1
"Chris Brookes","The Soundtrack to Apocalypse",2009,"Symphonic Metal","United Kingdom",1/1/2009,1
Nightshade,Benighted,1997,"Melodic Death/Black Metal",Sweden,1/1/1997,1
Striborg,"This Suffocating Existence","March 23rd, 2015 ","Black Metal/Ambient (early); Blackened Coldwave/Electronic (later)",Australia,1/1/2015,1
Firmament,Firmament,"March 16th, 2020 ","Atmospheric Black Metal",Germany,1/1/2020,1
Show-Ya,"Touch the Sun","May 15th, 1995 ","Heavy Metal/Hard Rock",Japan,1/1/1995,1
"Barren Oak","Dead to All Sensory Perception","April 2013","Experimental Black/Death Metal","United States",1/1/2013,1
"Guts & Glory","The Glorious Dead",2006,"Death Metal",Germany,1/1/2006,1
Hamer,Shermann,1990,"Thrash Metal",Poland,1/1/1990,1
Deceptor,"Driven From the Heavens",2008,"Thrash Metal","United States",1/1/2008,1
"Chord of Souls","Demo 2005",2005,"Gothic/Doom Metal",Sweden,1/1/2005,1
FALSE,Hunger,"July 28th, 2017 ","Black Metal","United States",1/1/2017,1
Aptrgangr,Divination,2011,"Black/Death Metal","United States",1/1/2011,1
Explosicum,Conflict,"January 26th, 2008 ","Thrash Metal",China,1/1/2008,1
Vecordious,"Anthropogenic Deterioration","December 1st, 2017 ","Black/Death Metal",Norway,1/1/2017,1
"De Douăsprezece Statui ale Stărilor de Umbră ale Sufletului",Nostalgia,"May 17th, 2019 ","Raw Black Metal",Spain,1/1/2019,1
"Forgotten Cult","Rehearsal MMXVIII","April 8th, 2018 ","Death Metal",Chile,1/1/2018,1
Lugubre,"Bloodshedding War Hymns",2003,"Black Metal",Netherlands,1/1/2003,1
"Grim Existence","Grim Existence","September 24th, 2014 ","Death Metal/Hardcore","United Kingdom",1/1/2014,1
"Zyklon Ritual","Thermonuclear Rape","October 7th, 2019 ","Black Metal","United States",1/1/2019,1
Heilnoz,Heilnoz,"November 11th, 2010 ","Black Metal",Spain,1/1/2010,1
Eltarum,"Взгляд восходящей луны","December 1st, 2014 ","Power Metal",Russia,1/1/2014,1
Naarvhal,Naarvhal,"October 19th, 2015 ","Atmospheric/Post-Black Metal",Canada,1/1/2015,1
"Ghost Voyage","Endless Oceans","October 11th, 2013 ","Melodic Doom/Death Metal",Finland,1/1/2013,1
"Double Dragon","Scars of Fire","June 12th, 2006 ","Melodic Death Metal/Metalcore",Australia,1/1/2006,1
"Dycian Maze","Soldiers of the Grave","July 2009","Heavy/Power Metal","United Kingdom",1/1/2009,1
Stratovarius,"Fright Night","May 11th, 1989 ","Melodic Power Metal",Finland,1/1/1989,1
"Cloud Rat","Cloud Rat","July 2010",Grindcore,"United States",1/1/2010,1
"Perpetual (E)motion","Witness of Entropy","April 2010","Progressive Metal",France,1/1/2010,1
Lupus,"Wolfs Honour","December 2004","Black Metal",Poland,1/1/2004,1
Waldschabe,"Live im Proberaum",2006,"Black Metal",Germany,1/1/2006,1
Todesreich,"The Darkest Descent to Inner Prisons","April 2013","Black/Doom Metal",Portugal,1/1/2013,1
"Lisa Gives Head","A Closer Look at the Ground",1995,"Groove/Thrash Metal",Sweden,1/1/1995,1
Armour,"Sonichouse Tape","March 1st, 2007 ","Heavy Metal",Finland,1/1/2007,1
"Desecration Rites","Flames of the Impure Crucifixion","July 21st, 2017 ","Raw Black Metal",Spain,1/1/2017,1
CounterIgnition,"Spit or Swallow",2011,"Thrash/Groove Metal",Serbia,1/1/2011,1
Overshoot,"Arbitrary Diagnosis","October 10th, 2018 ","Thrash Metal/Crossover",Indonesia,1/1/2018,1
"Swamp Temple","Desolate Voyage Beyond","October 2018","Black Metal","United States",1/1/2018,1
"謎",Mystery,"May 2001","Death Metal",Taiwan,1/1/2001,1
HellLight,"Funeral Doom","May 2008","Funeral Doom/Death Metal",Brazil,1/1/2008,1
"Massive Power","Promo Debut","September 5th, 1998 ","Thrash Metal",Chile,1/1/1998,1
Crowheart,"Plague King","November 12th, 2018 ","Melodic Symphonic Death Metal",Austria,1/1/2018,1
"Obszön Geschöpf","Son of Evil",2004,"Industrial/Electronica/EBM (early), Industrial Thrash Metal (later)",France,1/1/2004,1
"Shotgun Sludge","Sludge Made Us Slave","June 25th, 2011 ","Southern/Sludge Metal",Turkey,1/1/2011,1
Anatomia,"Cranial Obsession","November 3rd, 2017 ","Death/Doom Metal",Japan,1/1/2017,1
"Critical Solution","Barbara the Witch","April 28th, 2017 ","Heavy/Thrash Metal",Norway,1/1/2017,1
Avantasia,"The Scarecrow","January 25th, 2008 ","Symphonic Power Metal",Germany,1/1/2008,1
"Internal Nightmare",Promo,2009,"Death/Thrash Metal",Australia,1/1/2009,1
"Timo Rautiainen","Loppuun ajettu","May 23rd, 2007 ","Heavy Metal",Finland,1/1/2007,1
Myrrdin,"Pagan Bloody Altar","April 2009","Black Metal, Ambient","United Kingdom",1/1/2009,1
"Angela II","煌",2003,"Heavy Metal/Hard Rock",Japan,1/1/2003,1
"Cult of Erinyes","A Place to Call My Unknown","April 23rd, 2011 ","Black Metal",Belgium,1/1/2011,1
Cicada,Cicada,"September 17th, 2011 ","Experimental Death Metal",Canada,1/1/2011,1
Kardashev,Progression,"October 15th, 2012 ","Progressive/Atmospheric Deathcore","United States",1/1/2012,1
Samus,Desengano,"October 29th, 2002 ","Doom/Stoner/Avant-garde Metal","United States",1/1/2002,1
"Crimson Steel","Crimson Slaughter","May 2005","Thrash Metal",Germany,1/1/2005,1
Tagarot,"Veleda's Prophecy","January 10th, 2016 ","Folk Metal",Austria,1/1/2016,1
Porkavida,"Suicidio colectivo",1997,"Thrash Metal (early), Groove Metal (later)",Spain,1/1/1997,1
Agata,"Deja Vu","October 2014","Heavy Metal/Hard Rock",Colombia,1/1/2014,1
Proscription,"Promo 2017","July 3rd, 2017 ","Blackened Death Metal",Finland,1/1/2017,1
"Tears of Regret","Tears of Regret","December 14th, 2013 ","Atmospheric Black/Doom Metal",Jordan,1/1/2013,1
"Aleister Wild","Autumns Wrath",1997,"Power Metal","United States",1/1/1997,1
"The Obsessed","Demo 1980",1980,"Doom Metal","United States",1/1/1980,1
"Tränsilvänia","Lagrimas de fuego",2011,"Power Metal",Mexico,1/1/2011,1
Nachtvorst,Silence,"May 14th, 2012 ","Black Metal (early); Gothic/Doom/Black Metal (later)",Netherlands,1/1/2012,1
Maline,Maline,1982,"Heavy Metal/Hard Rock",Italy,1/1/1982,1
"Hell Icon","Noctu ad Gloriatio",2013,"Black Metal",Netherlands,1/1/2013,1
Cyrograf,"Biała dama",1995,"Death/Black/Doom Metal",Poland,1/1/1995,1
Gauntlet,Stubburn,"May 2012","Heavy/Power Metal",Spain,1/1/2012,1
Fireskull,Dakini,"September 2019","Thrash Metal",Mexico,1/1/2019,1
"Black Noise Anti-System","Black Noise Anti-System","January 31st, 2018 ","Thrash Metal/Grindcore",Mexico,1/1/2018,1
"Avant Soliloque",Reveries,"March 29th, 2015 ","Black/Doom Metal",Romania,1/1/2015,1
Obrero,"Wojtek the Soldier Bear","June 1st, 2010 ","Doom/Stoner Metal",Sweden,1/1/2010,1
"Mean Machine","Martini Toren on the Rocks",1991,"Heavy Metal/Hard Rock",Netherlands,1/1/1991,1
Strashers,Strashers,"December 12th, 2012 ","Thrash Metal",Canada,1/1/2012,1
Absu,"Catacomba, Opera I",1993,"Black Metal",Italy,1/1/1993,1
Hellgoat,"Upon the Hill of Megiddo",2005,"Black Metal","United States",1/1/2005,1
Kill-era,"Just for the Hell of It","March 1992","Thrash Metal","United States",1/1/1992,1
Nebula,Nebula,1988,"Heavy Metal","United States",1/1/1988,1
Teitanblood,"Genocide Chants to Apolokian Dawn",2004,"Death/Black Metal",Spain,1/1/2004,1
Mystifier,"Protogoni Mavri Magiki Dynasteia","March 8th, 2019 ","Black/Death Metal",Brazil,1/1/2019,1
Saprogenic,Ichneumonid,"July 4th, 2006 ","Brutal Death Metal","United States",1/1/2006,1
Violentory,Singularity,"August 22nd, 2012 ","Melodic Death/Progressive Metal",Bulgaria,1/1/2012,1
"Essence of Sorrow","Reflections of the Obscure","December 21st, 2006 ","Power Metal",Finland,1/1/2006,1
"Pink Cream 69",In10sity,"March 23rd, 2007 ","Melodic Power Metal, Glam/Hard Rock",Germany,1/1/2007,1
"Cry of Death","Всё это не ложь",1997,"Brutal Death Metal",Russia,1/1/1997,1
Godman,"Hypostatic Union","July 4th, 2019 ","Thrash/Groove Metal","United States",1/1/2019,1
"The Darkening","Silent Souls",1995,"Doom/Death Metal",Belgium,1/1/1995,1
"Maleficu Santificatu","La blasfemia","November 2nd, 2014 ","Black Metal",Italy,1/1/2014,1
"Peste Negra","Peste negra","December 28th, 2011 ","Black Metal",Mexico,1/1/2011,1
Withhold,"Bite the Bullet","May 5th, 2007 ","Thrash Metal",Belgium,1/1/2007,1
Suntorn,"The Will to Power","August 27th, 2012 ","Brutal Death Metal/Deathcore","United States",1/1/2012,1
"Fanebærer","Rehearsal MMXVIII","August 2018","Black Metal",Denmark,1/1/2018,1
"Red Apollo","Marche Funèbre","December 15th, 2012 ","Atmospheric Sludge/Post-Metal",Germany,1/1/2012,1
"Humanity Zero","Withered in Isolation","July 10th, 2017 ","Death Metal (early); Death/Doom Metal (later)",Greece,1/1/2017,1
Kraznium,"Forest of Skulls","August 21st, 2016 ","Death Metal",Czechia,1/1/2016,1
"Eastern Front","Descent into Genocide","July 28th, 2014 ","Black Metal","United Kingdom",1/1/2014,1
"Assorted Nails","Banging in the Nails",2005,"Death Metal",Germany,1/1/2005,1
"Rattenkönig","Cult of Rats","October 31st, 2015 ","Raw Black Metal",Australia,1/1/2015,1
"Morta Skuld","Prolong the Agony","August 1990","Death Metal","United States",1/1/1990,1
Machiavellian,"The Impossibility of Death in the Minds of the Living","April 29th, 2008 ","Death/Thrash with Sludge Metal influences","United Kingdom",1/1/2008,1
W.A.S.P.,"ReIdolized (The Soundtrack to the Crimson Idol)","February 2nd, 2018 ","Heavy Metal/Hard Rock","United States",1/1/2018,1
"This Is Hell","Weight of the World","June 8th, 2010 ","Thrash Metal/Crossover/Hardcore","United States",1/1/2010,1
"Lęk","The Solitary Elect of Darkness","March 2nd, 2013 ","Black Metal",Poland,1/1/2013,1
"Kowloon Walled City",Grievances,"October 9th, 2015 ","Sludge Metal","United States",1/1/2015,1
"Кобь","The Breath of the Chthonic Depths / Въздохъ земныих глубин","November 11th, 2019 ","Atmospheric Black Metal/Ambient",Russia,1/1/2019,1
"Infinite Translation","Impulsive Attack","March 2010","Thrash Metal",France,1/1/2010,1
Vredensdal,"The Tyrant Shade","May 6th, 2020 ","Black Metal","United States",1/1/2020,1
Lucifugo,"Omnipotent Manifestation of Lucifer","January 2005","Black Metal","United States",1/1/2005,1
"Satan Suck","Demo 2012",2012,"Groove Metal",Indonesia,1/1/2012,1
Absorption,"Inevitable Doom","August 30th, 2018 ","Death Metal",Russia,1/1/2018,1
"Yngwie Malmsteen","Rising Force","November 5th, 1984 ","Neoclassical Power Metal/Shred",Sweden,1/1/1984,1
Pantheon,Instrumentaryan,1997,"Black Metal","United States",1/1/1997,1
"Bring On the Apocalypse","First Strike",2012,"Thrash Metal","United States",1/1/2012,1
Kalakai,"A Slow Descent into Oblivion","December 6th, 2006 ","Melodic Death Metal/Metalcore","United States",1/1/2006,1
"Alice in Hell","The Black Death...",2008,"Groove/Death Metal",Venezuela,1/1/2008,1
"Reality Grey","Define Redemption","April 15th, 2014 ","Melodic Death Metal",Italy,1/1/2014,1
Exdemission,"I Made My Family Disappear","December 15th, 2012 ","Thrash Metal",Australia,1/1/2012,1
Fetterdoppelmord,FD2,"February 10th, 2014 ","Progressive Metal",Germany,1/1/2014,1
GumoManiacs,"Out of Disorder","May 30th, 2014 ","Thrash Metal",Germany,1/1/2014,1
Keltensturm,Eltz,1999,"Black Metal",Germany,1/1/1999,1
"Humanity Delete","Fuck Forever Off","June 11th, 2016 ","Death Metal/Grindcore",Sweden,1/1/2016,1
"Gyötrelem","Reménytelenség / Hopelessness",2015,"Black Metal",Hungary,1/1/2015,1
Skogen,"I döden","April 7th, 2014 ","Black Metal",Sweden,1/1/2014,1
Mast,"Rise to the Top","August 2nd, 2014 ","Sludge Metal","United States",1/1/2014,1
Mastema,"Promo 97","April 1997","Black Metal",Sweden,1/1/1997,1
"Total Genocide","Satan's Executioner",2005,"Raw Black Metal",France,1/1/2005,1
"Violent Souls","The Golden Palace of Deception",2008,"Melodic Death Metal",Italy,1/1/2008,1
Necromancer,"Demo I",1986,"Death/Thrash Metal",Brazil,1/1/1986,1
Formorket,Formorket,"August 2017","Black Metal",Hungary,1/1/2017,1
"Propitious Vegetation","Induced Spoliation of Disseminated Euphoric Cultivation","June 22nd, 2018 ","Slam/Brutal Death Metal","United States",1/1/2018,1
"Adorned Brood","Phobos / Deimos",1994,"Folk Metal",Germany,1/1/1994,1
"Agony Voices","Mankind's Glory","May 9th, 2015 ","Death/Doom Metal",Brazil,1/1/2015,1
Anoreksi,"Rise of Infinity","September 15th, 2011 ","Melodic Death Metal",Turkey,1/1/2011,1
"Hyo Jin Moon","Devil's Nutcracker",1992,"Heavy/Power Metal, Pop, Rock","Korea, South",1/1/1992,1
NRIII,Reticence,"May 22nd, 2012 ","Black Metal, Noise","United States",1/1/2012,1
"Cursed Cemetery","Linear Black Trees","February 5th, 2012 ","Death/Black Metal (early); Black Metal, Ambient/Downtempo (later)",Romania,1/1/2012,1
Demonik,"Ashes of the Earth","January 30th, 2020 ","Thrash Metal",Spain,1/1/2020,1
"Infernal Symphony",Faust,"May 7th, 2019 ","Avant-garde Metal","United Kingdom",1/1/2019,1
"Living Heart","Carry on for All","April 2017","Heavy Metal/Hard Rock",Brazil,1/1/2017,1
"Haborym Mastema","Burn in Ourselves",2003,"Black Metal",Cuba,1/1/2003,1
"Orgy of Swines","Orgy of Swines","June 11th, 2011 ","Death Metal/Grindcore",Australia,1/1/2011,1
"Altus Mortem","Sentenced Era","July 8th, 2005 ","Thrash Metal","Dominican Republic",1/1/2005,1
Samson,"Joint Forces","May 1986",NWOBHM,"United Kingdom",1/1/1986,1
Seared,"My Blackest Demon","August 13th, 2004 ","Melodic Death Metal (early) Metalcore (later)","United States",1/1/2004,1
Uprising,Kebangkitan,1998,"Atmospheric Folk/Black Metal",Malaysia,1/1/1998,1
Junkers,"Demo 2019","May 24th, 2019 ","Thrash/Death Metal","United States",1/1/2019,1
Valefar,"Liturgy of Death","November 10th, 2018 ","Black Metal",Chile,1/1/2018,1
"Dead Witch","Forest of Bodies","September 6th, 2018 ","Stoner/Groove Metal",Denmark,1/1/2018,1
"Jurassic Jade","Wonderful Monument","November 1st, 2000 ","Thrash Metal",Japan,1/1/2000,1
Fleshgore,"Defiance to Evil",2011,"Brutal Death Metal (early/later), Thrash Metal/Deathcore (mid)",Ukraine,1/1/2011,1
Depressor,"Promo 1999",1999,"Industrial Metal (early), Death Metal (later)","United States",1/1/1999,1
Baalgedeon,"Empire of Sacrifice","February 24th, 2018 ","Black Metal",Mexico,1/1/2018,1
Vulv,"Juicy Hole",2005,"Black Metal",France,1/1/2005,1
"Mouth of the Architect","Time & Withering",2004,Post-Metal,"United States",1/1/2004,1
Bisonhammer,"Supreme Beings","June 13th, 2007 ","Death/Groove Metal","United Kingdom",1/1/2007,1
"Internal Haemorrhage","Woulds Cut at Switchblade-knife",1994,"Grindcore/Brutal Death Metal",Poland,1/1/1994,1
"Axis of Advance",Obey,"September 2004","Black/Death Metal",Canada,1/1/2004,1
"Days of Demise",Demo,2003,"Progressive Death/Thrash Metal",Belgium,1/1/2003,1
Tripod,"Touch You",2007,"Power/Heavy Metal",Sweden,1/1/2007,1
Zombified,Outbreak,"August 22nd, 2010 ","Death Metal","United Kingdom",1/1/2010,1
Nokkonen,"Veljeni kuu","October 26th, 2002 ","Progressive Metal",Finland,1/1/2002,1
"As Autumn Calls","Cold, Black & Everlasting","October 25th, 2013 ","Death/Doom Metal",Canada,1/1/2013,1
D.F.C.,"Sequência Animalesca de Bicudas e Giratórias","July 2014","Crossover/Thrash Metal/Hardcore",Brazil,1/1/2014,1
Defile,"We Are from Hell","November 18th, 2006 ","Thrash/Black Metal","United States",1/1/2006,1
"Eternal Silence","Between the Unseen",2001,"Melodic Black Metal",Norway,1/1/2001,1
"Suicidal Ideation","Unconscious Suffering","August 13th, 2018 ","Black Metal",Japan,1/1/2018,1
Goregod,"The Human Abstract",1994,"Industrial Death Metal",Russia,1/1/1994,1
"Lord Astaroth","Vita Aeterna",1996,"Black Metal",Germany,1/1/1996,1
Devilish,"Promo Advance MMXVII","June 6th, 2017 ","Death Metal",Chile,1/1/2017,1
Arkhangelsk,Arkhangelsk,"July 26th, 2016 ","Black Metal",Greece,1/1/2016,1
Sciatica,"In Search of a Neverending Hope","July 25th, 2005 ","Sludge/Groove Metal","United States",1/1/2005,1
"Diabolic Voices","Screams of Anger",2003,Thrash/Death/Nu-Metal,Austria,1/1/2003,1
Allegiance,"Make the Pledge",1991,"Thrash Metal",Australia,1/1/1991,1
"Psychotic Homicidal Dismemberment","Spewing Forth Vomiting Gore",2007,"Brutal Death Metal/Grindcore","United States",1/1/2007,1
Persklum,"Demo II","April 10th, 2014 ","Raw Black Metal","United States",1/1/2014,1
Tombthroat,"Out of the Tomb","February 7th, 2005 ","Brutal Death Metal/Grindcore",Germany,1/1/2005,1
Hateflame,Hateflame,"April 27th, 2015 ","Black Metal",Russia,1/1/2015,1
Crack,"Memorias de Metal","July 2020","Thrash Metal",Argentina,1/1/2020,1
"Empires Laid Waste","With the Tide Comes Destruction","August 10th, 2012 ","Melodic Death/Thrash Metal",Australia,1/1/2012,1
Ramzes,Recycling,2003,"Gothic Metal",Poland,1/1/2003,1
"The Seer",Prologue,"April 10th, 2014 ","Symphonic/Melodic Death Metal",Australia,1/1/2014,1
"Grand Magus","Iron Will","June 13th, 2008 ","Heavy/Doom Metal",Sweden,1/1/2008,1
"Sleazy Wizard","Forbidden Sanctuary","October 31st, 2004 ","Thrash Metal",Japan,1/1/2004,1
"Mind Eraser","Demo 2003 A.D.",2003,"Powerviolence, Sludge/Doom Metal","United States",1/1/2003,1
Caronte,"Wolves of Thelema","December 7th, 2019 ","Doom/Stoner Metal",Italy,1/1/2019,1
Monstrous,"World Under Siege","December 13th, 2019 ","Death Metal",Sweden,1/1/2019,1
Necronomium,"Mental Eruption",2003,"Death Metal",Finland,1/1/2003,1
Halmony,"Ego City",2003,"Progressive Metal with Groove/Rock influences",France,1/1/2003,1
Emanation,"Under Magnetic Sleep","October 15th, 2013 ","Black Metal/Drone",Spain,1/1/2013,1
Karg,"Von den Winden der Sehnsucht #2","December 6th, 2010 ","Ambient Black Metal (early); Post-Black Metal (later)",Austria,1/1/2010,1
Inchiuvatu,INRI,"March 29th, 2013 ","Symphonic Black/Folk Metal",Italy,1/1/2013,1
Tiamat,"The Astral Sleep","September 1st, 1991 ","Death/Doom Metal (early); Gothic Metal/Rock (later)",Sweden,1/1/1991,1
"Pet the Preacher","The Cave & the Sunlight","April 25th, 2014 ","Stoner Metal",Denmark,1/1/2014,1
"Reflection of Flesh","Clearing the Mechanism","May 21st, 2019 ","Groove/Death Metal/Metalcore","United States",1/1/2019,1
"Раскат","...Философия смерти...",2007,"Thrash/Death Metal",Russia,1/1/2007,1
Nefastt,"La malignité des astres","June 4th, 2012 ","Raw Black Metal",France,1/1/2012,1
"Coffin Dust","Ancient Rites of Buried Evil","May 30th, 2011 ","Death/Thrash Metal/Crossover","United States",1/1/2011,1
TBC,"28 Days","August 13th, 2010 ","Gothic Metal",Austria,1/1/2010,1
Killers,"...Fils de la haine","March 1985","Heavy Metal",France,1/1/1985,1
Mesarthim,"Planet Nine","August 13th, 2020 ","Atmospheric Black Metal/Trance",Australia,1/1/2020,1
Anwynn,"Forbidden Songs","April 24th, 2012 ","Symphonic/Progressive Metal",Belgium,1/1/2012,1
Incarnate,Deathsigns,2003,"Death/Thrash Metal",Finland,1/1/2003,1
"Çatal Höyük","Welcome to Carnality","November 18th, 2008 ","Black Metal/Ambient/Experimental","United States",1/1/2008,1
"Seventh Avenue","Between the Worlds","January 27th, 2003 ","Melodic Speed/Power Metal",Germany,1/1/2003,1
"Day of Suffering","The Eternal Jihad",1997,Metalcore,"United States",1/1/1997,1
Khrom,"Demo 91",1991,"Heavy Metal",France,1/1/1991,1
Nadja,Sv,"March 14th, 2016 ","Ambient Drone/Doom Metal",Canada,1/1/2016,1
Innerload,React,"November 25th, 2011 ","Heavy Metal",Italy,1/1/2011,1
Lindisfarne,Dysangelium,"September 6th, 2012 ","Black Metal",Russia,1/1/2012,1
Revenge,"From Hell","October 8th, 2008 ","Black/Thrash Metal",Greece,1/1/2008,1
Acid,Maniac,1983,"Speed Metal",Belgium,1/1/1983,1
"Galactic Tyrannosaur","Christmas Is Doomed","December 15th, 2019 ","Stoner/Doom Metal","United States",1/1/2019,1
Asskicker,"The Barley and Yeast Brain Glaze",2001,"Groove/Thrash Metal","United States",1/1/2001,1
Mayfair,"Die Flucht",1995,"Progressive Metal (early); Avant-garde Rock (later)",Austria,1/1/1995,1
Sadness,Close,"July 10th, 2014 ","Depressive/Post-Black Metal","United States",1/1/2014,1
"Aeons of Eclipse","The Parasite","August 1st, 2013 ","Death Metal","United States",1/1/2013,1
"Order of Orias",Inverse,"November 20th, 2011 ","Black Metal",Australia,1/1/2011,1
"Black Blood","Sacred Beast Cult","September 2009","Death/Black Metal/Grindcore",India,1/1/2009,1
Synalgia,"Referred Pain","December 2008","Doom/Death Metal",Russia,1/1/2008,1
Sznur,"Zabić się będąc martwym","October 31st, 2019 ","Black Metal",Poland,1/1/2019,1
Maidens,Shallows,"November 25th, 2011 ",Post-Metal/Post-Hardcore/Sludge,"United States",1/1/2011,1
Zerostreet,"Come Alive","August 9th, 2019 ","Melodic Heavy Metal",Finland,1/1/2019,1
"Vinnie Pereira","Son of Light",2008,"Power Metal",Brazil,1/1/2008,1
Kladovest,Winterwards,"July 2014","Black Metal",Ukraine,1/1/2014,1
"Ägresor","The Act of Aggression","October 4th, 2014 ","Thrash Metal",Poland,1/1/2014,1
Sumac,"May You Be Held","October 2nd, 2020 ","Atmospheric Sludge Metal",Canada,1/1/2020,1
Measureless,"Demo-2 '94","May 1st, 1994 ","Death Metal",Sweden,1/1/1994,1
Krytik,Mutilated,"June 13th, 2020 ","Death Metal",Brazil,1/1/2020,1
Kalopsia,Angelplague,"March 31st, 2017 ","Death Metal","United States",1/1/2017,1
"The Grey","The Massacre at Rocky Ridge","April 12th, 2018 ","Black/Death Metal","United States",1/1/2018,1
Maar,"Eastern... Mysterious... Mystical... Myth...",2001,"Black/Death/Thrash Metal",Malaysia,1/1/2001,1
Taranis,Flandriae,"December 22nd, 2008 ","Black/Thrash Metal",Belgium,1/1/2008,1
"Blood Dress","A Great Sign 2008",2008,"Progressive/Technical Death Metal",Argentina,1/1/2008,1
Peripetea,"The Rise of the Phoenix",2008,"Progressive/Melodic Death Metal",Germany,1/1/2008,1
Pristina,"The Drought (Ov Salt and Sorrow)","September 28th, 2010 ","Thrash Metal/Metalcore with Grindcore influences","United States",1/1/2010,1
Cerebrum,"The First Sign","March 2002","Death Metal (early), Thrash Metal (later)",Poland,1/1/2002,1
Wintermord,"Demo III","February 4th, 2020 ","Black Metal",Czechia,1/1/2020,1
Dhark,"Vienna Falling","March 23rd, 2018 ","Experimental/Progressive Metal",Austria,1/1/2018,1
Awaken,"Cast Off Skin",2005,"Melodic Power/Thrash Metal","United Kingdom",1/1/2005,1
"Cockney Rejects","Greatest Hits Vol. 1","March 7th, 1980 ","Oi!/Punk, NWOBHM, Heavy Metal/Hard Rock","United Kingdom",1/1/1980,1
RIIT,"Sick Demo Worship","January 29th, 2011 ","Black/Thrash Metal",Philippines,1/1/2011,1
"Screaming Souls","Glorious Halls",2005,"Power/Speed Metal",Germany,1/1/2005,1
"Dead Mountain","Dark Hymns",2005,"Black Metal","United States",1/1/2005,1
Neonfly,"Clever Disguise",2008,"Melodic Power Metal","United Kingdom",1/1/2008,1
Afterbirth,"The Time Traveler's Dilemma","July 28th, 2017 ","Brutal Death Metal (early); Progressive Brutal Death Metal (later)","United States",1/1/2017,1
"Enemy Within","Symphony of Distortion",2009,"Thrash/Power Metal",Sweden,1/1/2009,1
Genocidio,"Desidia final",2008,"Thrash Metal",Chile,1/1/2008,1
Atlantis,Atlantis,"December 1st, 2002 ","Melodic Heavy/Power Metal",Japan,1/1/2002,1
"Yayeth Corpse","Revere the Unholy","April 5th, 2005 ","Death/Black Metal",France,1/1/2005,1
Odrum,Incivita,2008,"Black Metal",Chile,1/1/2008,1
Chaostar,"The Undivided Light","March 23rd, 2018 ",Ambient/Darkwave/Neoclassical,Greece,1/1/2018,1
LSDoom,"Set Sail","June 8th, 2017 ","Experimental Rock/Psychedelic Stoner/Doom Metal",Australia,1/1/2017,1
Choronzon,"Fiat Nox",2011,"Blackened Industrial Metal","United States",1/1/2011,1
"Broken Ohms","Ghost Effects",2007,"Progressive Stoner Metal/Rock",Canada,1/1/2007,1
Putrescine,"The One Reborn","August 15th, 2019 ","Death Metal","United States",1/1/2019,1
Sadogoat,"Scourging the Son of God","June 2003","Black/Death Metal",Denmark,1/1/2003,1
"Electric Poison","Desert Nights","April 2nd, 2019 ","Heavy/Speed Metal",Brazil,1/1/2019,1
Pan.Thy.Monium,"Dawn of Dreams",1992,"Progressive/Avant-garde Death Metal",Sweden,1/1/1992,1
Moonspell,"Night Eternal","May 19th, 2008 ","Black Metal (early); Gothic Metal (later)",Portugal,1/1/2008,1
Cycles,"Phoenix Rising","January 2006","Melodic Heavy/Thrash/Doom Metal",Portugal,1/1/2006,1
Buckethead,"Pike 158 - Twisted Branches","July 28th, 2015 ",Various,"United States",1/1/2015,1
Secretion,"Freed from Torment",2000,"Death Metal","United States",1/1/2000,1
"Year of Desolation",Winter,2005,"Melodic Thrash Metal","United States",1/1/2005,1
"The Ruined Few","Blacktooth Risin",2005,"Thrash Metal","United States",1/1/2005,1
"Hollow Leg",Civilizations,"January 25th, 2019 ","Sludge/Doom Metal","United States",1/1/2019,1
Ella,Simbiosis,2003,"Rock, Hard Rock/Heavy Metal (early); Pop Rock, Pop (later)",Malaysia,1/1/2003,1
Ziryab,Ziryab,1996,"Heavy Metal",Spain,1/1/1996,1
"Serenity Forgotten",Thoughts,"August 28th, 2004 ","Funeral Doom Metal",Netherlands,1/1/2004,1
Disharmony,"Shades of Insanity",2009,"Heavy/Doom Metal",Greece,1/1/2009,1
Reign,"Act of Penance","June 1991","Thrash/Groove Metal","United Kingdom",1/1/1991,1
Sorhin,"Skogsgriftens rike",1996,"Black Metal",Sweden,1/1/1996,1
"Torn from the Womb","Humans and Saws","September 9th, 2015 ","Technical/Brutal Death Metal",Poland,1/1/2015,1
Crustimate,"Demo 2",1995,"Hardcore Punk (first demo), Death Metal (later)",Portugal,1/1/1995,1
"Hugin Munin","Die for Odin","February 1st, 2009 ","Melodic Death/Viking Metal",Brazil,1/1/2009,1
Exarsis,"The Human Project","May 8th, 2015 ","Thrash Metal",Greece,1/1/2015,1
Scald,Headworm,"November 2003","Sludge/Doom Metal/Grindcore","United Kingdom",1/1/2003,1
Zwetwezen,"Evil Surrealistic Visions Unseen",2016,"Experimental Black Metal",Belgium,1/1/2016,1
"Y'ha-Nthlei","Unholy Mysteries of Ancient","June 17th, 2016 ","Experimental/Raw Black Metal",Russia,1/1/2016,1
Lamort,Jus,2017,"Sludge Metal",France,1/1/2017,1
